year;title;author;publisher;classification;library
2016.0;Je veux que tu m'aimes ! / scénario, dessin et couleurs Patricia Lyfoung;Lyfoung, Patricia;Paris : Delcourt, 2006;BDJ  LYF;CABANIS
2011.0;Un monde sans fin / Ken Follett, traduit de l'anglais par Viviane Mikhalkov, Leslie Boitelle et Hannah Pascal;Follett, Ken (1949-....);Paris : R. Laffont, 2008;GB FOLL;CABANIS
2011.0;Mon papy et moi / Tadao Miyamoto, adaptation française de Christophe Le Masne;Miyamoto, Tadao;Paris : Mango-Jeunesse, 2010;A MIY;CABANIS
2011.0;Une sacrée mamie. 5 / [scénario] Yôshichi Shimada, [dessins] Saburô Ishikawa, [trad. Testsuya Yano, adapt. Olivier Vachey];Shimada, Yôshichi;Paris : Delcourt, 2010;BD SHI;CABANIS
2014.0;L'analphabète qui savait compter / Jonas Jonasson, traduit du suédois par Carine Bruy;Jonasson, Jonas (1962-....);Paris : Presses de la Cité, 2013;EN JONA;CABANIS
2014.0;Tout l'amour de nos pères  / Christian Signol;Signol, Christian (1947-....);Paris : Albin Michel, 2013;SIG;CABANIS
2014.0;Les enfants de la liberté / Marc Levy;Levy, Marc;Paris : R. Laffont, 2007;LmC 23866;CABANIS
2014.0;Bent Road / Lori Roy, traduit de l'anglais (Etats-Unis) par Valérie Bourgeois;Roy, Lori;Paris : Ed. du Masque, 2013;P ROY;CABANIS
2014.0;La servante du Seigneur / Jean-Louis Fournier;Fournier, Jean-Louis (1938-....);Paris : Stock, 2013;FOUR;CABANIS
2014.0;La reine de la Baltique / Viveca Sten, traduit du suédois par Rémi Cassaigne;Sten, Viveca (1959-....);Paris : Albin Michel, 2013;P STEN;CABANIS
2018.0;"Only for your eyes. 7 / Dessin : Midam et Adam ; Scénario : Midam et Thitaume ; Couleurs : Benbk";Midam (1963-....);Lasne (Belgique) : Mad fabrik, 2011;Gam 07;CABANIS
2018.0;Phosphore;-;Paris : Bayard-Presse, 1981-;P1380;CABANIS
2017.0;Trois amis en quête de sagesse / Christophe André, Alexandre Jollien, Matthieu Ricard;André, Christophe (1956-....);Paris : l'Iconoclaste : Allary éditions, 2016;158.1 A;CABANIS
2013.0;Etudes : revue de culture contemporaine;Compagnie de Jésus;Paris : Etudes, 1856-;P10187;CABANIS
2013.0;Les grands sites [Texte imprimé] : Midi-Pyrénées / [Marie Hélène Chaplain, Renée Grimaud, Élisabeth Mauris, et al.];-;Paris : Hachette Tourisme, impr. 2012;914.486 G;CABANIS
2013.0;Rigolos, les animaux ! / Photographies Agence Hoaqui Jacana Explorer;Agence Hoaqui JacanaExplorer;Toulouse : Milan jeunesse, 2005;RIG;EMP
2013.0;Origine / Diana Abu-Jaber, traduit de l'anglais (Etats-Unis) par Edith Ochs;Abu-Jaber, Diana;Paris : Sonatine éditions, impr. 2010;P ABU;CABANIS
2011.0;Marina/ Carlos Ruiz Zafón, traduit de l'espagnol par François Maspero;Ruiz Zafón, Carlos (1964-....);Paris : R. Laffont, 2010;PI RUIZ;CABANIS
2011.0;Grasse carcasse / [scénario et dessin] Manu Larcenet;Larcenet, Manu (1969-....);Paris : Dargaud, 2009;LAR Bla;CABANIS
2011.0;Havre des morts : une enquête de Kay Scarpetta / Patricia Cornwell, traduit de l'américain (Etats-Unis) par Andrea H. Japp;Cornwell, Patricia (1956-....);Paris : Ed. des 2 terres, 2011;P CORN;CABANIS
2011.0;Max et Lili ont peur / Dominique de Saint-Mars, ill. de Serge Bloch;Saint-Mars, Dominique de;[Fribourg] : Calligram, 1994;E SAI;CABANIS
2011.0;La grande Schtroumpfette / scénario Alain Jost et Thierry Culliford, dessins Pascal Garray, couleurs Nine Culliford, publié par Peyo créations;Culliford, Thierry;Paris : Le Lombard, 2010;Sch 28;CABANIS
2011.0;Retour parmi les hommes / Philippe Besson;Besson, Philippe (1967-....);Paris : Julliard, 2011;-;CABANIS
2012.0;Le chien gardien d'étoiles / Takashi Murakami , [trad. du japonais par Victoria Tomoko Okada , adapt. française par Frédéric Lavabre];Murakami, Takashi (1965-....);Paris : Ed. Sarbacane, 2011;BDTM MUR Chi 1;CABANIS
2014.0;Une vérité si délicate / John le Carré, traduit de l'anglais par Isabelle Perrin;Le Carré, John (1931-....);Paris : Ed. du Seuil, 2013;GB LECA;CABANIS
2014.0;Le calme de la nuit / Virginie Aladjidi, Caroline Pellissier, Emmanuelle Tchoukriel;Aladjidi, Virginie;Paris : Thierry Magnier, 2012;A ALA;CABANIS
2014.0;Studio danse. 2 / dessins Crip, scénario Béka, couleurs Maëla Cosson;Béka;Charnay-lès-Mâcon (Saône-et-Loire) : Bamboo, 2008;Stu 02;CABANIS
2014.0;Waterminator / Scénario et dessins Midam, couleurs Angèle;Midam;[Marcinelle], [Paris] : Dupuis, 2001;BD MID;CABANIS
2014.0;Le meilleur de Tom-Tom et Nana : méga-farces et mini-gaffes / scénarios de Jacqueline Cohen et Evelyne Reberg, dessins de Bernadette Després;Cohen, Jacqueline;Montrouge (Hauts-de-Seine) : Bayard Jeunesse, 2011;BD COH;CYP
