titre,artiste,album,langue,genre,annee,source
I love you,Dadju & Tayc,I love you - Single,français,Pop,2023,https://music.apple.com/fr/album/i-love-you/1718968269?i=1718968549&uo=4
J'me tire,GIMS,Subliminal la face cachée,français,Hip-hop/Rap,2013,https://music.apple.com/fr/album/jme-tire/749310581?i=749310621&uo=4
Danza Kuduro (feat. Lucenzo),Don Omar & Lucenzo,Meet the Orphans,français,Urban latin,2010,https://music.apple.com/fr/album/danza-kuduro-feat-lucenzo/1442783860?i=1442784095&uo=4
Havana (feat. Young Thug),Camila Cabello,Camila,français,Pop,2017,https://music.apple.com/fr/album/havana-feat-young-thug/1321216767?i=1321217032&uo=4
On verra,Nekfeu,Feu,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/on-verra/1440826417?i=1440827043&uo=4
Papa allo,Alonzo,100 %,français,Hip-hop/Rap,2017,https://music.apple.com/fr/album/papa-allo/1440888329?i=1440888476&uo=4
Meleğim,Soolking & Dadju,Meleğim - Single,français,Hip-hop/Rap,2020,https://music.apple.com/fr/album/mele%C4%9Fim/1497358987?i=1497358990&uo=4
Piano,Werenoi & GIMS,Piano - Single,français,Hip-hop/Rap,2025,https://music.apple.com/fr/album/piano/1810704200?i=1810704212&uo=4
Someone Like You,Adele,21,français,Pop,2011,https://music.apple.com/fr/album/someone-like-you/403037872?i=403037927&uo=4
Nevermind,Dennis Lloyd,Nevermind - Single,français,Pop,2016,https://music.apple.com/fr/album/nevermind/1242284010?i=1242284189&uo=4
Les princes (feat. Nekfeu),MZ,La dictature,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/les-princes-feat-nekfeu/1082810369?i=1082810375&uo=4
À fleur de toi,Vitaa,À fleur de toi,français,Hip-hop/Rap,2006,https://music.apple.com/fr/album/%C3%A0-fleur-de-toi/1443819921?i=1443819932&uo=4
Je m'en vais,Vianney,Vianney,français,Variété française,2015,https://music.apple.com/fr/album/je-men-vais/1448498365?i=1448498375&uo=4
Watermelon Sugar,Harry Styles,Fine Line,français,Pop,2019,https://music.apple.com/fr/album/watermelon-sugar/1485802965?i=1485802967&uo=4
Smells Like Teen Spirit,Nirvana,Nevermind,français,Alternative,1991,https://music.apple.com/fr/album/smells-like-teen-spirit/1440783617?i=1440783625&uo=4
NINAO,GIMS,NINAO - Single,français,Hip-hop/Rap,2025,https://music.apple.com/fr/album/ninao/1797518058?i=1797518241&uo=4
Pour Que Tu M'aimes Encore,Céline Dion,D'eux,français,Variété française,1995,https://music.apple.com/fr/album/pour-que-tu-maimes-encore/207088529?i=207088540&uo=4
On the Low,Burna Boy,On the Low - Single,français,Afrobeats,2018,https://music.apple.com/fr/album/on-the-low/1442135418?i=1442135422&uo=4
Back In Black,AC/DC,Back In Black,français,Hard rock,1980,https://music.apple.com/fr/album/back-in-black/574050396?i=574050602&uo=4
Mafuzzy Style,Dadju,Gentleman 2.0 (Réédition),français,R&B/Soul,2018,https://music.apple.com/fr/album/mafuzzy-style/1453375792?i=1453376183&uo=4
Obsesión,Aventura,We Broke the Rules,français,Salsa et tropiques,2002,https://music.apple.com/fr/album/obsesi%C3%B3n/211280098?i=211280101&uo=4
Avant toi,Vitaa & Slimane,VersuS,français,Variété française,2019,https://music.apple.com/fr/album/avant-toi/1473601800?i=1473601822&uo=4
